id,rfm_r,rfm_f,rfm_m
1559,29700,2,65560.0
1560,29172,3,65937.0
1561,23076,36,207071.05
1562,36757,1,3490.0
1563,30084,1,17990.0
1564,26340,16,419060.0
1565,29316,1,2990.0
1566,28524,6,1347872.0
1567,1428,9,124593.0
1569,25764,2,17280.0
1571,11724,16,848674.6
1572,14436,11,647370.0
1574,27396,5,40710.0
1575,33013,8,222072.0
1576,34885,2,37960.0
1577,28212,1,45990.0
1578,31741,2,51980.0
1580,32149,3,13569.0
1582,34261,7,669058.0
1583,10596,4,57027.0
1587,27276,1,19192.0
1589,27636,7,387030.0
1591,28020,1,5490.0
1592,45493,2,35160.0
1594,32893,1,3790.0
1596,34717,3,72950.0
1599,32005,1,27990.0
1601,38485,1,17490.0
1602,34669,1,34990.0
1603,27636,3,74752.0
1604,32989,10,234000.0
1605,31549,2,2470.0
1606,27492,10,61248.0
1607,29172,1,16140.5
1609,27060,2,61980.0
1610,27612,4,30260.0
1613,27972,9,437848.7
1615,30157,3,38970.0
1616,35941,12,342384.0
1619,39997,1,19990.0
1620,22620,4,24420.6
1623,25596,17,1124162.0
1624,33517,1,15990.0
1625,27708,1,2290.0
1626,30253,4,81400.0
1627,18180,7,154760.0
1628,28164,2,30560.0
1629,24217,6,51500.0
1632,29724,11,280047.5
1633,33493,4,71840.0
1634,32893,2,29960.0
1635,32869,7,128810.0
1636,30349,1,7990.0
1637,33733,1,4990.0
1638,8340,16,328106.5
1639,31909,3,29262.68
1640,27804,1,1832.0
1641,36061,1,8990.0
1644,24996,9,188359.0
1647,39853,1,14990.0
1648,31141,4,87500.0
1650,34885,2,37980.0
1653,30709,6,139800.0
1654,27156,1,29990.0
1655,25524,3,7360.05
1656,29940,1,16990.0
1657,30973,5,243750.0
1660,31141,1,21990.0
1662,28332,2,5338.0
1663,30613,3,75972.0
1664,29844,1,23990.4
1665,34813,5,54130.0
1666,27828,1,41994.0
1667,29292,1,25990.0
1669,32605,6,72636.0
1670,31693,1,9990.0
1672,28908,1,13990.0
1674,46213,1,4990.0
1675,31093,3,23950.0
1676,26964,15,251870.0
1677,33733,1,3990.0
1678,35221,4,41040.0
1679,31621,16,1240000.0
1680,16500,5,49130.0
1681,25116,4,66225.34
1683,29268,1,87801.0
1684,25524,2,11380.0
1686,31117,13,308464.0
1688,44077,2,27360.0
1689,30012,3,111750.0
1690,7212,89,1597337.97
1691,25956,6,299687.5
1692,28836,3,104910.0
1693,28260,3,47970.0
1694,33109,1,15990.0
1695,15348,15,869684.25
1697,30997,6,234642.0
1698,31381,2,35960.0
1699,31525,1,18990.0
1702,26052,5,23850.1
1703,16764,9,135470.0
1704,18252,2,50681.0
1705,33949,4,83900.0
1706,7415,3,60566.0
